1, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
2, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
3, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
4, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
5, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
6, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
7, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
8, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
9, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
10, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
11, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
12, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
13, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
14, UPenn, Claudia Cohen Hall, Cafeteria 2, dining_table
15, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
16, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
17, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
18, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
19, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
20, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
21, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
22, UPenn, Claudia Cohen Hall, Cafeteria 3, dining_table
23, UPenn, Sweeten Alumni Building, Room 2: BD 5, bed_single_made
24, UPenn, Sweeten Alumni Building, Room 2: BD 5, student_desk
25, UPenn, Sweeten Alumni Building, Room 2: BD 1, bed_single_made
26, UPenn, Sweeten Alumni Building, Room 2: BD 1, student_desk
27, UPenn, Sweeten Alumni Building, Room 1: BD 1, bed_single_made
28, UPenn, Sweeten Alumni Building, Room 1: BD 1, student_desk
29, UPenn, Sweeten Alumni Building, Room 2: BD 6, bed_single_made
30, UPenn, Sweeten Alumni Building, Room 2: BD 6, student_desk
31, UPenn, Sweeten Alumni Building, Room 1: BD 2, bed_single_made
32, UPenn, Sweeten Alumni Building, Room 1: BD 2, student_desk
33, UPenn, Sweeten Alumni Building, Room 2: BD 2, bed_single_made
34, UPenn, Sweeten Alumni Building, Room 2: BD 2, student_desk
