UPenn, Claudia Cohen Hall, Cafeteria 1, 28, 181, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 34, 181, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 40, 181, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 46, 181, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 28, 187, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 34, 187, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 40, 187, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 1, 46, 187, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 35, 196, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 41, 196, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 47, 196, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 35, 202, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 41, 202, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 2, 47, 202, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 28, 212, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 34, 212, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 40, 212, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 46, 212, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 28, 218, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 34, 218, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 40, 218, dining_table
UPenn, Claudia Cohen Hall, Cafeteria 3, 46, 218, dining_table
UPenn, Sweeten Alumni Building, Room 2: BD 5, 31, 98, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 5, 34, 98, student_desk
UPenn, Sweeten Alumni Building, Room 2: BD 1, 42, 100, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 1, 45, 100, student_desk
UPenn, Sweeten Alumni Building, Room 1: BD 1, 17, 102, bed_single_made
UPenn, Sweeten Alumni Building, Room 1: BD 1, 19, 102, student_desk
UPenn, Sweeten Alumni Building, Room 2: BD 6, 31, 104, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 6, 34, 104, student_desk
UPenn, Sweeten Alumni Building, Room 1: BD 2, 17, 106, bed_single_made
UPenn, Sweeten Alumni Building, Room 1: BD 2, 19, 106, student_desk
UPenn, Sweeten Alumni Building, Room 2: BD 2, 42, 106, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 2, 45, 106, student_desk
UPenn, Sweeten Alumni Building, Room 1: Kitchen, 24, 106, basket_fruit
UPenn, Sweeten Alumni Building, Room 1: Kitchen, 26, 107, food_sausage
UPenn, Sweeten Alumni Building, Room 1: Kitchen, 23, 107, dining_table
UPenn, Sweeten Alumni Building, Room 1: BD 3, 17, 111, bed_single_made
UPenn, Sweeten Alumni Building, Room 1: BD 3, 19, 111, student_desk
UPenn, Sweeten Alumni Building, Room 1: Living Room, 25, 114, plant_large
UPenn, Sweeten Alumni Building, Room 2: Kitchen, 30, 110, basket_fruit
UPenn, Sweeten Alumni Building, Room 2: Kitchen, 33, 111, food_sausage
UPenn, Sweeten Alumni Building, Room 2: BD 3, 42, 111, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 3, 45, 111, student_desk
UPenn, Sweeten Alumni Building, Room 2: Living Room, 32, 114, dining_table
UPenn, Sweeten Alumni Building, Room 2: Living Room, 32, 115, fireplace
UPenn, Sweeten Alumni Building, Room 1: BD 4, 17, 116, bed_single_made
UPenn, Sweeten Alumni Building, Room 1: BD 4, 19, 116, student_desk
UPenn, Sweeten Alumni Building, Room 2: BD 4, 42, 116, bed_single_made
UPenn, Sweeten Alumni Building, Room 2: BD 4, 45, 116, student_desk
UPenn, Sweeten Alumni Building, Room 1: Living Room, 24, 118, cushion
UPenn, Sweeten Alumni Building, Room 1: Living Room, 26, 117, plant_large
UPenn, Sweeten Alumni Building, Room 2: BR 2, 30, 121, toilet
UPenn, Sweeten Alumni Building, Room 2: BR 2, 33, 119, mirror
UPenn, Sweeten Alumni Building, Room 1: BR 1, 16, 122, toilet
UPenn, Sweeten Alumni Building, Room 2: BR 1, 41, 122, toilet
UPenn, Sweeten Alumni Building, Room 2: BR 1, 44, 120, mirror
UPenn, Houston Hall, Bathroom, 81, 221, toilet
UPenn, Houston Hall, Bathroom, 84, 220, sink
UPenn, Houston Hall, Bathroom, 87, 220, mirror
UPenn, Houston Hall, Bathroom, 89, 220, towels
UPenn, Houston Hall, Chess Room, 151, 223, food_ham
UPenn, Houston Hall, Chess Room, 155, 223, food_salad
UPenn, Houston Hall, Reception Hall, 103, 226, plant
UPenn, Houston Hall, Reception Hall, 137, 226, plant
UPenn, Houston Hall, Billiard Room, 82, 227, dining_table
UPenn, Houston Hall, Billiard Room, 88, 227, dining_table
UPenn, Houston Hall, Billiard Room, 94, 227, dining_table
UPenn, Houston Hall, Reception Hall, 136, 227, sofa
UPenn, Houston Hall, Reading Room, 142, 237, bookshelf_wood_books
UPenn, Houston Hall, Chess Room, 151, 227, food_fish
UPenn, Houston Hall, Chess Room, 155, 227, bread
UPenn, Houston Hall, Reception Hall, 104, 229, cushion
UPenn, Houston Hall, Reception Hall, 109, 229, cushion_orange
UPenn, Houston Hall, Reception Hall, 122, 229, cushion
UPenn, Houston Hall, Reception Hall, 127, 229, cushion_orange
UPenn, Houston Hall, Reception Hall, 107, 229, round_table_small
