134000, UPenn, Fisher Fine Arts Library, 13401, Bookshelf 1
134001, UPenn, Fisher Fine Arts Library, 13401, Bookshelf 2
134002, UPenn, Fisher Fine Arts Library, 13401, Bookshelf 3
134003, UPenn, Fisher Fine Arts Library, 13401, Bookshelf 4
134004, UPenn, Fisher Fine Arts Library, 13400, Bookshelf 5
134005, UPenn, Fisher Fine Arts Library, 13400, Bookshelf 6
134006, UPenn, Fisher Fine Arts Library, 13400, Bookshelf 7
134007, UPenn, Fisher Fine Arts Library, 13400, Bookshelf 8
134008, UPenn, Fisher Fine Arts Library, 13400, Bookshelf 9
134009, UPenn, Fisher Fine Arts Library, 13402, Bookshelf 10
134010, UPenn, Fisher Fine Arts Library, 13402, Bookshelf 11
134011, UPenn, Fisher Fine Arts Library, 13401, Reading Chair 1
134012, UPenn, Fisher Fine Arts Library, 13401, Reading Chair 2
134013, UPenn, Fisher Fine Arts Library, 13401, Reading Chair 3
134014, UPenn, Fisher Fine Arts Library, 13401, Reading Chair 4
134015, UPenn, Fisher Fine Arts Library, 13400, Reading Chair 5
134016, UPenn, Fisher Fine Arts Library, 13400, Reading Chair 6
134017, UPenn, Fisher Fine Arts Library, 13400, Reading Chair 7
134018, UPenn, Fisher Fine Arts Library, 13400, Reading Chair 8
114000, UPenn, Houston Hall, 1014, sink
114001, UPenn, Houston Hall, 1014, stove
114002, UPenn, Houston Hall, 1014, pot
